Type,Buy Amount,Buy Cur.,Sell Amount,Sell Cur.,Fee Amount,Fee Cur.,Exchange,Trade Group,Comment,Date
Staking,2.00000000,AFD,,,,,WLWW...3UFI,The Algo Faucet,EWEX62RK4IEWBTPKI6ODW4B6WMVX2IG74EUD7E3FW7R4CLOJKQ2A,2022-06-06 09:05:41
Staking,2.00400000,AFD,,,,,WLWW...3UFI,The Algo Faucet,PFG7T6X2S2W5KUCPKOLBR56O3NVRAIXIWDY4XGXEW6K5R6NJDV3Q,2022-06-07 09:05:41
Staking,.22,STKE,,,,,WLWW...3UFI,AlgoStake,UU2BG77THAYLMHMDL473TQOE433XR5W4L6G3AYQH5L26PNZCYVBA,2022-06-08 02:11:30
Staking,2.00800800,AFD,,,,,WLWW...3UFI,The Algo Faucet,6GQD55GZNGO67YXSSLKEKXANY5OHNUXKPASRMCGRTXGFKRBHWBFA,2022-06-08 09:05:40
Staking,2.01202401,AFD,,,,,WLWW...3UFI,The Algo Faucet,XPPALEA56S4FKAGV4PMQICV3UI3RUJS44GJJQJBQ4RYLMGK24CTA,2022-06-09 09:05:37
Staking,2.01604806,AFD,,,,,WLWW...3UFI,The Algo Faucet,ARE6Y6BG47TOZY7H6IQ4XC4NWE7FOKCVNRLFDBT7ZLPCHTWRMY4A,2022-06-10 09:05:39
Deposit,14.980000,ALGO,,,,,WLWW...3UFI,,AVJYNWLHI4P56O2OAEE4MGBT3K6IFFXSHLCMGOZEA5UZG4T3ZBKA,2022-06-10 20:42:28
Spend,,,.001000,ALGO,,,WLWW...3UFI,Network Operation Fees,JH7EUJOZHCFGNS4NMDQHPHOXIG5KWTKNWQJWP4MRLDMAQGEFVGRA,2022-06-10 20:46:34
Withdrawal,,,1.490858,TMPOOL11,,,WLWW...3UFI,Yieldly: Deposit,Yy1OaYp+U8fEF1wpH9mIzSbiDM9QIomKANswEbWr6iM=,2022-06-10 20:47:34
Deposit,1.490858,TMPOOL11,,,,,Yieldly,Yieldly: Deposit,Yy1OaYp+U8fEF1wpH9mIzSbiDM9QIomKANswEbWr6iM=,2022-06-10 20:47:34
Spend,,,0.003,ALGO,,,WLWW...3UFI,Summed Group Network Fees,F-Yy1OaYp+U8fEF1wpH9mIzSbiDM9QIomKANswEbWr6iM=,2022-06-10 20:47:34
Deposit,1,3YrsALGO,,,,,WLWW...3UFI,,gamSL24VwpNp0jTB/W8CF0KjjQgEqTZDItC4laEQ25A=,2022-06-11 08:02:03
Spend,,,0.001,ALGO,,,WLWW...3UFI,Summed Group Network Fees,F-gamSL24VwpNp0jTB/W8CF0KjjQgEqTZDItC4laEQ25A=,2022-06-11 08:02:03
Staking,.022576,YLDY,,,,,WLWW...3UFI,Yieldly: Rewards,I- G-2m6T45gWSiBl...   T-K4UUP7RXMJH7...,2022-06-11 08:52:06
Spend,,,0.003,ALGO,,,WLWW...3UFI,Summed Group Network Fees,F-2m6T45gWSiBlUXzRp+AjfE+peyCWHeJgbVnW6xUnXaY=,2022-06-11 08:52:06
Spend,,,.001000,ALGO,,,WLWW...3UFI,Network Operation Fees,KAPCV232QGITTBPJ3BRONTAAYF5CIPL4JMF5LUBWZE67QLXNJVYQ,2022-06-11 08:54:07
Spend,,,.001000,ALGO,,,WLWW...3UFI,Network Operation Fees,I2FK4AVUPIBRDK2KCNQ5OH3GXP4F4GCKFINCRXKICUTPACL7VJCA,2022-06-11 08:54:24
Withdrawal,,,.022579,YLDY,,,WLWW...3UFI,Yieldly: Deposit,AWoB3R49GIHfkG8Oi3V2hdkpC3Q/HzYjDtGCpE3Ij5Q=,2022-06-11 08:55:29
Deposit,.022579,YLDY,,,,,Yieldly,Yieldly: Deposit,AWoB3R49GIHfkG8Oi3V2hdkpC3Q/HzYjDtGCpE3Ij5Q=,2022-06-11 08:55:29
Spend,,,0.003,ALGO,,,WLWW...3UFI,Summed Group Network Fees,F-AWoB3R49GIHfkG8Oi3V2hdkpC3Q/HzYjDtGCpE3Ij5Q=,2022-06-11 08:55:29
Staking,2.02008016,AFD,,,,,WLWW...3UFI,The Algo Faucet,BLHYILDRP26VBABZIZ6MHPMQNGEPZ6V55Q276LAVNFK33MA3WNEA,2022-06-11 09:05:40
Withdrawal,,,.100000,TMPOOL11,,,Yieldly,Yieldly: Withdrawal,I- G-gYir4063FEk1...   T-3JWMXDMGFSIP...,2022-06-11 19:34:50
Deposit,.100000,TMPOOL11,,,,,WLWW...3UFI,Yieldly: Withdrawal,I- G-gYir4063FEk1...   T-3JWMXDMGFSIP...,2022-06-11 19:34:50
Spend,,,0.003,ALGO,,,WLWW...3UFI,Summed Group Network Fees,F-gYir4063FEk14KmaA9ra0InhOQ8MQfgMjRhmAPfcQZ4=,2022-06-11 19:34:50
Trade,2.601579,YLDY,0.05,TMPOOL11,,,WLWW...3UFI,Tinyman: LP Burn,Z+YC2NY7YDORQcdbsYVh9KNX+lEJreF0HLnuSdAt0oQ=,2022-06-11 19:38:12
Trade,.006136,ALGO,0.05,TMPOOL11,,,WLWW...3UFI,Tinyman: LP Burn,Z+YC2NY7YDORQcdbsYVh9KNX+lEJreF0HLnuSdAt0oQ=,2022-06-11 19:38:12
Spend,,,0.005,ALGO,,,WLWW...3UFI,Summed Group Network Fees,F-Z+YC2NY7YDORQcdbsYVh9KNX+lEJreF0HLnuSdAt0oQ=,2022-06-11 19:38:12
Deposit,.026279,YLDY,,,,,WLWW...3UFI,Tinyman: Pooled Slippage,zR3PJr9C9A2n9qJXwYC/wksLCyuKjc/129+kHXYGn0w=,2022-06-11 19:40:18
Spend,,,0.003,ALGO,,,WLWW...3UFI,Summed Group Network Fees,F-zR3PJr9C9A2n9qJXwYC/wksLCyuKjc/129+kHXYGn0w=,2022-06-11 19:40:18
Deposit,.000062,ALGO,,,,,WLWW...3UFI,Tinyman: Pooled Slippage,kwaLRAgyfClSLuSkWFhJYLVN3sC0xqqdD0I61srj0D4=,2022-06-11 19:40:27
Spend,,,0.003,ALGO,,,WLWW...3UFI,Summed Group Network Fees,F-kwaLRAgyfClSLuSkWFhJYLVN3sC0xqqdD0I61srj0D4=,2022-06-11 19:40:27
Staking,.020282,YLDY,,,,,WLWW...3UFI,Yieldly: Rewards,I- G-pqQXNBCmS12L...   T-INH7N7NVXRFC...,2022-06-11 19:41:59
Spend,,,0.003,ALGO,,,WLWW...3UFI,Summed Group Network Fees,F-pqQXNBCmS12LqvcdQGHdgH4gSr6comaBxCOPBwfhoHs=,2022-06-11 19:41:59
Staking,2.02412032,AFD,,,,,WLWW...3UFI,The Algo Faucet,UNAYG4ARALRQ7ECUDUPSSGGAIG3JXXLOUVR5TTKZAFOF7FSDCOWQ,2022-06-12 09:05:37
Spend,,,.001000,ALGO,,,WLWW...3UFI,Network Operation Fees,O4KWARI6PZ26AHBUU3TSS4O3A6IEZBMPYOGAIMZL24QEGV3YRMZA,2022-06-12 09:14:51
Trade,10.000000,ALGF,.152537,ALGO,0.00045761099999999666,ALGO,WLWW...3UFI,Tinyman: Trade,ZzB5XTSJLNgxBTaOz5I1dyYN8pq953wksBbwQEq2kEg=,2022-06-12 09:15:12
Spend,,,0.004,ALGO,,,WLWW...3UFI,Summed Group Network Fees,F-ZzB5XTSJLNgxBTaOz5I1dyYN8pq953wksBbwQEq2kEg=,2022-06-12 09:15:12
